,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,TARGET_XF
8212,1.6560072286863015,-1.2325403677368743,-0.25525416013212854,1.0553219178589575,0,3.128372860218764,3.833333333,0.7950611007382576,0.694444444,2.2563031300202923,2,5.262539645,0.751791378,0.478076941,0.8152221769417146,0.8152221649027702,0.8730983981502833,0.833333333,0.42120524522209296,0,2,0.29740955064721825,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0
8214,-0.7435905732104018,0.5896081970753306,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.043024772,0.130003358,0.5954891874138237,0.5954891757444533,1.2675913081877634,1.0,-0.20274489638876494,0,1,-0.1450361173532806,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0
8218,-0.7425590796718303,-1.2325403677368743,-0.25525416013212854,-0.5062429864268062,0,-0.48902126678141916,1.0,-0.8966342124982472,0.5,0.018278134323173975,0,0.650618087,1.040988939,0.024076875,1.7673984648959085,1.7673984509624998,0.8730983981502833,0.833333333,-0.20274489638876494,1,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0
8219,-0.631845439865162,1.045145338278382,-0.25525416013212854,-0.5062429864268062,0,-0.20408953759989792,1.0,-0.6623994768553826,0.8,0.018278134323173975,1,2.393760086,2.151694459,0.039565795,0.5222448575711934,0.5222448458785255,1.2675913081877634,1.0,-1.4506451796104807,1,2,0.29740955064721825,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0
8220,-0.3416519243470623,-0.9592180830150435,-0.25525416013212854,-0.5062429864268062,0,-0.051300059632995214,1.0,-1.156895029618947,0.166666667,0.018278134323173975,1,2.330743618,0.998890122,0.019090925,1.9871314544237995,1.9871314401208167,0.4786054881128033,0.666666667,-0.20274489638876494,1,2,0.29740955064721825,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0
8221,-0.18211425704801223,-1.0503255112556538,-0.25525416013212854,-0.5062429864268062,0,0.014771065974314067,1.0,-0.6363733953775473,0.833333333,0.018278134323173975,1,2.241869277,2.115566782,0.0,0.8884665067843449,0.8884664943292316,1.2675913081877634,1.0,-0.20274489638876494,0,2,0.29740955064721825,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0
8222,-0.3419957555265861,1.9562196206844844,-0.25525416013212854,-1.2870254385696882,1,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.814211695,0.232166433,0.30251186804330255,0.3025118567202084,-0.310380331962157,0.333333333,2.2930556700546667,1,1,-2.578487291356024,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0
8227,0.6499571973996195,-0.6858957982932128,-0.25525416013212854,-0.5062429864268062,0,-0.5220568295850738,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.10739216,1.575085019,0.270965594,-0.5031757602256307,-0.503175770047132,-1.0993661520371172,0.0,-0.20274489638876494,0,2,0.29740955064721825,0,0,0,0,0,0,1,0,0,1,0,0.0,1,1
8228,1.4074172858905836,-1.0503255112556538,-0.25525416013212854,0.2745394657160757,1,0.006512175273400408,2.0,-0.2459821693061065,0.666666667,1.137290632171733,2,0.898587933,1.514762516,0.590006406,1.5476654753680177,1.5476654618041827,1.2675913081877634,1.0,-1.4506451796104807,0,0,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8230,0.15449646770580244,-0.777003226533823,-0.25525416013212854,-0.5062429864268062,0,-0.49728015748233284,1.166666667,-1.2870254385696882,0.0,0.018278134323173975,0,0.2170767,1.1818620359999998,0.224318888,0.668733517256454,0.6687335051709147,0.8730983981502833,0.833333333,-0.20274489638876494,1,1,-2.1360416233555255,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
