,MES_CORTE,ID,LINEA_TC,TIPO_FLUJO_TC,INGRESO_BRUTO,EDAD,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,NRO_PAS_PBK,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,EMP_REP_TC_SF,EMP_REP_PP_SF,EMP_REP_CONV_SF,EMP_REP_VEH_SF,EMP_REP_HIP_SF,SALDO_TC_SF,SALDO_PP_SF,SALDO_CONV_SF,SALDO_VEH_SF,SALDO_HIP_SF,SALDO_TCSF_UU6,MAX_SALDO_TCSF_U6,MIN_SALDO_TCSF_U6,MAX_LINEA_TCSF,MIN_LINEA_TCSF,LINEA_TOT_TCSF,MAX_SALTC_SF_UM,MIN_SALTC_SF_UM,SALDO_SF_UM,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,IND_DEU_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,RECENCIA_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TARGET_XF
2779,201601,81356033,12000,FAST1,6148,35,F,DEPENDIENTE,LIMA,0,0,0,0,0,1,1,2,0,0,0,0,0.0,1,3,1,0,1,0,5598.6,9943.56,0.0,7776.0618920000015,0.0,6809.995,6809.995,6809.995,13800.0,1.0,23801.0,5213.76,0.0,5598.6,3.0,2.0,0.666666667,3,2,2.244632401,1.951854262,3.792814231,0.369756839,6.0,1.0,1.0,6,1.0,0
2780,201601,91297777,1000,REG2,1360,26,M,INDEPENDIENTE,APURIMAC,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.735294118,0.0,0.189606538,1.0,0.166666667,1.0,1,0.166666667,0
2781,201601,89622469,1800,FAST1,1679,33,F,INDEPENDIENTE,MADRE DE DIOS,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.072066706,0.0,0.04494194,3.0,0.5,1.0,3,0.5,0
2782,201601,86266305,5900,FAST1,4981,30,M,INDEPENDIENTE,PUNO,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.184501104,0.0,0.221317272,6.0,1.0,1.0,6,1.0,0
2783,201601,2471263,2500,FAST1,1586,65,F,INDEPENDIENTE,PUNO,0,0,0,0,1,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28.84333333,28.84333333,28.84333333,1100.0,1100.0,1100.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,0.693568726,1.57629256,0.0,0.305213494,6.0,1.0,1.0,6,1.0,0
2784,201601,83221719,3000,FAST1,1396,33,F,INDEPENDIENTE,PIURA,0,1,0,0,0,0,1,2,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.061666667,4.061666667,4.061666667,1200.0,1200.0,1200.0,0.0,0.0,0.0,1.0,0.166666667,0.166666667,1,0,0.859598854,2.148997135,0.0,0.072888421,6.0,1.0,1.0,6,1.0,0
2785,201601,18174649,1100,FAST1,1268,54,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.867507886,0.0,0.178625706,6.0,1.0,1.0,6,1.0,0
2786,201601,41189229,3800,FAST1,1730,38,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.05,5.05,5.05,7400.0,3500.0,10900.0,0.0,0.0,0.0,2.0,0.166666667,0.083333333,2,0,4.277456647,2.196531792,0.0,0.146988651,,,,0,0.0,0
2787,201601,53433351,2400,FAST1,2395,43,F,INDEPENDIENTE,CAJAMARCA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.002087683,0.0,0.0,6.0,1.0,1.0,6,1.0,0
2788,201601,20055247,1000,REG2,750,41,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.333333333,0.0,0.286659612,6.0,1.0,1.0,6,1.0,0
2789,201601,83740235,5800,100APRO,2734,62,M,MIXTO,LIMA,1,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0,18394.08,0.0,0.0,0.0,0.0,0.0,3700.0,3700.0,3700.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1.3533284559999998,2.121433797,6.727900512000001,0.123042678,6.0,1.0,1.0,6,1.0,0
2790,201601,88032989,2400,FAST1,2416,33,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,804.5,0.0,0.0,0.0,0.0,536.3333333,536.3333333,536.3333333,1495.3,1495.3,1495.3,804.5,804.5,804.5,1.0,0.666666667,0.666666667,1,1,0.618915563,0.993377483,0.332988411,0.037162175,6.0,1.0,1.0,6,1.0,0
2791,201601,47647109,3411,FAST,0,51,M,DEPENDIENTE,CUSCO,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,6,1.0,0
