ID,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO
90891195,-0.28491977972563287,-0.9592180830150435,-0.25525416013212854,-0.5062429864268062,0,-0.3651379062677143,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.871687587,4.218967922,0.4526726270000001,0.30251186804330255,0.3025118567202084,-1.0993661520371172,0.0,-0.20274489638876494,1,0,-0.1450361173532806,0,0,0,0,0,0,1,0,0,0,0,0.0,1
83933135,-0.7521863526984972,-0.5036809418119923,1.5856976062884378,-0.5062429864268062,1,-0.4716775963095005,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.801855533,0.8614976809999999,0.343945179,-0.2834427706977399,-0.283442780888815,-1.0993661520371172,0.0,2.2930556700546667,1,0,0.29740955064721825,0,0,1,0,0,0,1,0,0,0,0,0.0,1
2256119,4.351987507332534,0.5896081970753306,-0.25525416013212854,0.2745394657160757,0,-0.35687901556680063,2.0,-1.2870254385696882,0.0,1.137290632171733,0,0.158982512,2.378622967,0.486658291,-0.35668710054037017,-0.35668711075474263,-1.0993661520371172,0.0,-0.20274489638876494,1,1,1.845969388648964,0,0,0,0,0,0,1,0,0,0,0,0.0,1
35281837,-0.6937350521794486,-0.13925122884955132,-0.25525416013212854,-1.2870254385696882,2,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.8338296609999999,0.18399571,-0.35668710054037017,-0.35668711075474263,1.2675913081877634,1.0,1.6691055284438088,0,1,0.07618671664696883,0,0,0,0,0,0,1,0,0,0,0,0.0,1
17787803,-0.04286262934086725,1.500682479481433,-0.25525416013212854,-0.5062429864268062,1,-0.48902126678141916,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.279955207,0.78387458,0.267841984,-1.0891303989666732,-1.0891304080956212,-0.7048732419996371,0.166666667,1.0451553868329508,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1
80074115,-0.214090556743727,-0.13925122884955132,-0.25525416013212854,-0.5062429864268062,0,-0.48902126678141916,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.325309044,0.845803513,0.061174852,1.6941541350532783,1.6941541215360383,1.2675913081877634,1.0,-0.20274489638876494,1,0,-0.5874817853537794,0,0,0,0,0,0,1,0,0,0,0,0.0,1
83731577,0.5189575180010462,-0.5036809418119923,-2.096205926552695,-1.2870254385696882,0,-0.5716101737905558,2.0,0.11838297528749932,0.933333333,-1.100734363525385,0,0.0,0.787552824,0.537958409,0.668733517256454,0.6687335051709147,-1.0993661520371172,0.0,0.42120524522209296,1,2,1.4035237206484654,1,0,0,0,0,0,0,0,0,1,0,0.0,1
88977691,-0.6779188179213532,-0.8681106547744333,-0.25525416013212854,-1.2870254385696882,1,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.869565217,0.293688887,-0.13695411101247926,-0.13695412159642562,0.4786054881128033,0.666666667,1.6691055284438088,0,0,-0.5874817853537794,0,0,0,0,0,1,0,0,0,0,0,0.0,1
145267449,-0.7552808333142115,-1.3236477959774846,-0.25525416013212854,-0.5062429864268062,0,-0.5096684935337034,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.5,0.8666666670000001,0.21246881,-1.0158860691240428,-1.0158860782296937,-1.0993661520371172,0.0,1.6691055284438088,0,1,1.4035237206484654,0,0,0,0,0,1,0,0,0,0,0,0.0,1
95195353,-0.6469740117642099,-1.4147552242180947,-0.25525416013212854,-0.5062429864268062,1,-0.4477268132768509,1.0,-1.2870254385696882,0.0,0.018278134323173975,0,0.826446281,1.928374656,0.332565007,0.08277887851541164,0.0827788675618914,0.4786054881128033,0.666666667,-1.4506451796104807,0,0,0.29740955064721825,0,0,0,0,0,1,0,0,0,0,0,0.0,1
44580163,-0.7528740150575448,0.5896081970753306,-2.096205926552695,-0.5062429864268062,0,-0.23371830798942567,1.833333333,0.14440905676533444,1.0,0.018278134323173975,1,2.71483079,0.99535501,0.45631314,0.5222448575711934,0.5222448458785255,-1.0993661520371172,0.0,1.0451553868329508,0,1,-0.5874817853537794,1,0,0,0,0,0,0,0,0,0,0,0.0,1
83365223,0.725256225715335,-0.5947883700526025,1.5856976062884378,-0.5062429864268062,0,-0.48902126678141916,2.666666667,-1.2870254385696882,0.0,0.018278134323173975,0,0.172235618,3.94419566,0.533569139,1.5476654753680177,1.5476654618041827,-1.0993661520371172,0.0,-0.20274489638876494,0,0,0.29740955064721825,1,1,0,0,1,0,0,0,0,0,0,0.0,1
50959889,-0.7463412226465923,2.0473270489250948,-0.25525416013212854,0.2745394657160757,0,-0.04469294707226428,2.0,-0.5062429864268062,0.5,1.137290632171733,1,4.180865007,1.048492792,0.235198983,-0.13695411101247926,-0.13695412159642562,0.4786054881128033,0.666666667,-0.20274489638876494,0,2,-1.472373121354777,0,0,0,0,0,0,1,0,0,0,0,0.0,1
90721701,0.4247477748115209,-1.0503255112556538,1.5856976062884378,1.0553219178589575,0,0.9810612779812122,2.833333333,0.4046698746668167,0.7777777779999999,2.2563031300202923,3,3.811841038,3.142741281,0.634790655,1.6941541350532783,1.6941541215360383,0.8730983981502833,0.833333333,-0.20274489638876494,1,0,0.29740955064721825,0,0,1,0,0,1,0,0,0,0,0,0.0,1
82054549,0.2672730945896137,-0.41257351357138206,-0.25525416013212854,2.6168868221447212,0,2.9219005926959225,5.833333333,1.0553219178589575,0.5166666670000001,4.49432812571741,3,9.454626732,1.966919982,0.1363381669999999,0.9617108366269752,0.9617108241951595,-0.7048732419996371,0.166666667,-0.20274489638876494,1,2,-2.1360416233555255,0,0,0,0,0,0,1,0,0,0,0,0.0,1
91292463,0.06372503631151534,-1.0503255112556538,-0.25525416013212854,-0.5062429864268062,0,0.20472555209532825,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,2.421432251,1.957753735,0.195305575,1.2546881559974965,1.2546881432194044,1.2675913081877634,1.0,-0.20274489638876494,1,0,0.29740955064721825,0,0,0,0,0,0,1,1,0,0,0,0.0,1
83300499,-0.631845439865162,-0.5036809418119923,-2.096205926552695,0.2745394657160757,0,-0.08433562243664985,1.666666667,-0.2459821693061065,0.833333333,1.137290632171733,1,3.173749328,2.151694459,0.134319252,0.44900052772856314,0.4490005160125976,1.2675913081877634,1.0,-0.20274489638876494,0,1,-0.1450361173532806,1,0,0,0,0,0,0,0,0,0,0,0.0,1
36233931,-0.44755192764039725,0.49850076883472044,-0.25525416013212854,-0.5062429864268062,0,-0.2412545457540094,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,1.6701461380000002,1.920668058,0.501168019,0.37575619788593284,0.37575618658613624,1.2675913081877634,1.0,-0.20274489638876494,1,1,-0.1450361173532806,0,0,0,0,0,0,1,0,0,0,0,0.0,1
84365983,1.5033461849777277,-0.5947883700526025,1.5856976062884378,1.0553219178589575,1,2.888865029892268,3.0,0.6649306917875166,0.833333333,2.2563031300202923,3,5.192712852,3.036311811,0.579568459,2.4998417633222116,2.499841748303379,1.2675913081877634,1.0,-1.4506451796104807,0,2,0.29740955064721825,1,0,0,0,1,0,1,0,0,0,0,0.0,1
